mins,teacher,title,url
60,Patrick Beach,RHYTHM OF LIFE,https://www.alomoves.com/series/yoga-for-life/workouts/6348
30,Patrick Beach,RELEASING THE SELF,https://www.alomoves.com/series/yoga-for-life/workouts/6346
63,Patrick Beach,CONSCIOUS AND CONNECTED,https://www.alomoves.com/series/yoga-for-life/workouts/6343
65,Patrick Beach,MINDFUL MOVEMENT,https://www.alomoves.com/series/yoga-for-life/workouts/6347
62,Patrick Beach,INSIGHT OVER ANXIETY,https://www.alomoves.com/series/yoga-for-life/workouts/6344
61,Patrick Beach,ENERGIZING VINYASA,https://www.alomoves.com/series/energizing-vinyasa/workouts/7074
45,Patrick Beach,FULL VINYASA FLOW,https://www.alomoves.com/series/yoga-for-beginners/workouts/11456
59,Patrick Beach,POWERFUL ROOTS,https://www.alomoves.com/series/strength-elevation-flows/workouts/7792
59,Patrick Beach,CLEAN ENERGY,https://www.alomoves.com/series/strength-elevation-flows/workouts/7793
40,Talia Sutra,HEADSTAND,https://www.alomoves.com/series/the-method-inversions/workouts/11306
35,Patrick Beach,THE TAKE OFF,https://www.alomoves.com/series/flow-state/workouts/11610
14,Eleonora Zampatti,DETOXIFYING STRETCH,https://www.alomoves.com/series/detoxifying-stretch/workouts/12486
19,Calvin Corzine,NIGHTTIME RELAXATION FLOW,https://www.alomoves.com/series/nighttime-relaxation-flow/workouts/12549
33,Melini Jesudason,HANDSTAND FLOW,https://www.alomoves.com/series/handstand-flow/workouts/9669
60,Patrick Beach,HIGHS AND LOWS,https://www.alomoves.com/series/strength-elevation-flows/workouts/7791
10,Jackie Stewart,OPEN AND GRATEFUL MIND,https://www.alomoves.com/series/open-and-grateful-mind/workouts/11427
9,Jacy Cunningham,WAKE UP YOUR BODY,https://www.alomoves.com/series/elevate-strength-training/workouts/12045
19,Phyllicia Bonanno,HEART-OPENING VINYASA FLOW,https://www.alomoves.com/series/heart-opening-vinyasa-flow/workouts/10867
13,Kayla Nielsen,GRATITUDE MEDITATION,https://www.alomoves.com/series/deepen-your-backbends/workouts/12269
13,Kirat Randhawa,CULTIVATE INSIGHT,https://www.alomoves.com/series/morning-ritual-daily-meditations/workouts/12219
20,Carling Harps,NURTURE YOUR NEEDS,https://www.alomoves.com/series/remedy/workouts/10341
58,Patrick Beach,ELEVATION,https://www.alomoves.com/series/strength-elevation-flows/workouts/7789
21,Jade Alectra,POETRY IN MOTION,https://www.alomoves.com/series/poetry-in-motion/workouts/10589
24,Eoin Finn,MELT: SHOULDERS AND HIPS,https://www.alomoves.com/series/melt-shoulders-and-hips/workouts/10029
22,Deepika Mehta,CLASS 2: SURYA NAMASKAR A & B,https://www.alomoves.com/series/beginner-ashtanga/workouts/8502
14,Deepika Mehta,CLASS 9: DAILY FLEXIBILITY,https://www.alomoves.com/series/beginner-ashtanga/workouts/8511
26,Deepika Mehta,CLASS 3: STANDING POSES,https://www.alomoves.com/series/beginner-ashtanga/workouts/8505
9,Jonah Kest,SUN SALUTATIONS A & B,https://www.alomoves.com/series/ashtanga-remix/workouts/9656
32,Jonah Kest,FOUNDATION,https://www.alomoves.com/series/ashtanga-remix/workouts/9657
31,Patrick Beach,DAY 14: STRONG INVERSION FLOW,https://www.alomoves.com/series/awaken-your-practice/workouts/11812
