mins,teacher,title,url
9,Dylan Werner,SHOULDER & WRIST MOBILITY,https://www.alomoves.com/series/shoulder-wrist-mobility/workouts/9698
9,Jacy Cunningham,BOOTY WORK,https://www.alomoves.com/series/booty-work/workouts/12013
11,Tawny Janae,10-MINUTE HAMSTRING FLOW,https://www.alomoves.com/series/alo-in-the-wild-tahoe/workouts/12596
12,Adrienne Rabena,DAY 7: HIP UNRAVEL,https://www.alomoves.com/series/ultimate-barre-burn/workouts/11626
16,Tawny Janae,15-MINUTE LOWER BACK SLOW FLOW,https://www.alomoves.com/series/alo-in-the-wild-red-rocks/workouts/12573
15,Hiro Landazuri,SMARTER HIPS,https://www.alomoves.com/series/smarter-hips/workouts/10525
15,Hannah Haller,WRIST HEALTH,https://www.alomoves.com/series/wrist-health/workouts/10606
16,Josh Kramer,ALIGN SUN SALUTATIONS - FLOATING FORWARD,https://www.alomoves.com/series/transformative-alignment/workouts/8647
14,Talia Sutra,SACRED ANGER,https://www.alomoves.com/series/sacred-anger/workouts/11523
16,Caley Alyssa,YOGA ACTION: PUSH AND PULL,https://www.alomoves.com/series/yoga-action-push-and-pull/workouts/11801
21,Patrick Beach,RELEASE HIP TENSION,https://www.alomoves.com/series/yoga-for-beginners/workouts/11457
20,Meghan Currie,HONEYED HIPS,https://www.alomoves.com/series/marinate/workouts/6933
22,Naya Rappaport,UNBOUND HIPS,https://www.alomoves.com/series/unbound-hips/workouts/10946
19,Hannah Haller,SHOULDER THERAPY,https://www.alomoves.com/series/shoulder-therapy/workouts/10343
18,Patrick Beach,SIMPLE SEATED STRETCHES,https://www.alomoves.com/series/yoga-for-beginners/workouts/11458
31,Jonah Kest,VINYASA BURN,https://www.alomoves.com/series/vinyasa-burn/workouts/9680
32,Dylan Werner,HIP OPENERS FOR BEGINNERS,https://www.alomoves.com/series/beginner-flexibility/workouts/10856
30,Dylan Werner,BACK/SHOULDER FLEXIBILITY FOR BEGINNERS,https://www.alomoves.com/series/beginner-flexibility/workouts/10854
31,Hiro Landazuri,SMARTER SHOULDERS,https://www.alomoves.com/series/smarter-shoulders/workouts/10864
0,Naya Rappaport,YOGA BLOCK PLAY,https://www.alomoves.com/series/yoga-block-play/workouts/12245
37,Laruga Glaser,DAY 13: PRACTICE,https://www.alomoves.com/series/ashtanga-step-by-step/workouts/11127
